insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Raney Steven M,Executive Chair RJBank,2026-07-27,2026-07-28,5770,172.9693,998032.86,D,S,43046,False,False,True,0001225208-26-006757,https://www.sec.gov/Archives/edgar/data/720005/000122520826006757/0001225208-26-006757.txt
Allaire Bella Loykhter,Chief Admin Officer,2026-03-19,2026-03-20,29551,142.34,4206289.34,D,S,53586,False,False,True,0001225208-26-003890,https://www.sec.gov/Archives/edgar/data/720005/000122520826003890/0001225208-26-003890.txt
Aisenbrey Christopher S,Chief Human Resources Officer,2026-02-28,2026-03-03,600,0.0,0.0,A,M,17622,False,False,True,0001225208-26-002940,https://www.sec.gov/Archives/edgar/data/720005/000122520826002940/0001225208-26-002940.txt
Aisenbrey Christopher S,Chief Human Resources Officer,2026-02-28,2026-03-03,132,153.08,20206.56,D,F,17490,False,False,True,0001225208-26-002940,https://www.sec.gov/Archives/edgar/data/720005/000122520826002940/0001225208-26-002940.txt
Edwards Jeffrey N,,2026-02-24,2026-02-25,1503,0.0,0.0,D,G,9533,False,True,False,0001225208-26-002653,https://www.sec.gov/Archives/edgar/data/720005/000122520826002653/0001225208-26-002653.txt
Edwards Jeffrey N,,2026-02-24,2026-02-25,1503,0.0,0.0,A,G,22008,False,True,False,0001225208-26-002653,https://www.sec.gov/Archives/edgar/data/720005/000122520826002653/0001225208-26-002653.txt
Seshadri Raj,,2026-02-19,2026-02-23,1303,0.0,0.0,A,A,13782,False,True,False,0001225208-26-002385,https://www.sec.gov/Archives/edgar/data/720005/000122520826002385/0001225208-26-002385.txt
Mistarz Cecily,,2026-02-19,2026-02-23,1303,0.0,0.0,A,A,2489,False,True,False,0001225208-26-002379,https://www.sec.gov/Archives/edgar/data/720005/000122520826002379/0001225208-26-002379.txt
Mistarz Cecily,,2026-02-19,2026-02-23,1253,0.0,0.0,A,M,3742,False,True,False,0001225208-26-002379,https://www.sec.gov/Archives/edgar/data/720005/000122520826002379/0001225208-26-002379.txt
Mistarz Cecily,,2026-02-19,2026-02-23,250,0.0,0.0,A,M,3992,False,True,False,0001225208-26-002379,https://www.sec.gov/Archives/edgar/data/720005/000122520826002379/0001225208-26-002379.txt
Mistarz Cecily,,2026-02-19,2026-02-23,250,0.0,0.0,A,M,4242,False,True,False,0001225208-26-002379,https://www.sec.gov/Archives/edgar/data/720005/000122520826002379/0001225208-26-002379.txt
MCGEARY RODERICK C,,2026-02-19,2026-02-23,1303,0.0,0.0,A,A,24354,False,True,False,0001225208-26-002383,https://www.sec.gov/Archives/edgar/data/720005/000122520826002383/0001225208-26-002383.txt
MCDANIEL RAYMOND W,,2026-02-19,2026-02-23,1303,0.0,0.0,A,A,6113,False,True,False,0001225208-26-002384,https://www.sec.gov/Archives/edgar/data/720005/000122520826002384/0001225208-26-002384.txt
