insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
ALLEN SCOTT R.,"CVP, Chief Accounting Officer",2026-07-15,2026-07-17,663,983.12,651808.56,D,F,36086,False,False,False,0001652149-26-000004,https://www.sec.gov/Archives/edgar/data/723125/000165214926000004/0001652149-26-000004.txt
ALLEN SCOTT R.,"CVP, Chief Accounting Officer",2026-07-15,2026-07-17,249,983.12,244796.88,D,F,35837,False,False,False,0001652149-26-000004,https://www.sec.gov/Archives/edgar/data/723125/000165214926000004/0001652149-26-000004.txt
ARNZEN APRIL S,EVP and Chief People Officer,2026-07-01,2026-07-06,4279,1077.05,4608696.95,D,S,121458,False,False,False,0001632063-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000163206326000003/0001632063-26-000003.txt
ARNZEN APRIL S,EVP and Chief People Officer,2026-07-01,2026-07-06,1247,1078.47,1344852.09,D,S,120211,False,False,False,0001632063-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000163206326000003/0001632063-26-000003.txt
ARNZEN APRIL S,EVP and Chief People Officer,2026-07-01,2026-07-06,10497,1079.99,11336655.03,D,S,109714,False,False,False,0001632063-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000163206326000003/0001632063-26-000003.txt
ARNZEN APRIL S,EVP and Chief People Officer,2026-07-01,2026-07-06,3572,1080.96,3861189.12,D,S,106142,False,False,False,0001632063-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000163206326000003/0001632063-26-000003.txt
ARNZEN APRIL S,EVP and Chief People Officer,2026-07-01,2026-07-06,929,1082.28,1005438.12,D,S,105213,False,False,False,0001632063-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000163206326000003/0001632063-26-000003.txt
ARNZEN APRIL S,EVP and Chief People Officer,2026-07-01,2026-07-06,3593,1083.31,3892332.83,D,S,101620,False,False,False,0001632063-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000163206326000003/0001632063-26-000003.txt
ARNZEN APRIL S,EVP and Chief People Officer,2026-07-01,2026-07-06,794,1084.12,860791.28,D,S,100826,False,False,False,0001632063-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000163206326000003/0001632063-26-000003.txt
ARNZEN APRIL S,EVP and Chief People Officer,2026-07-01,2026-07-06,2944,1085.27,3195034.88,D,S,97882,False,False,False,0001632063-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000163206326000003/0001632063-26-000003.txt
ARNZEN APRIL S,EVP and Chief People Officer,2026-07-01,2026-07-06,2105,1086.38,2286829.9,D,S,95777,False,False,False,0001632063-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000163206326000003/0001632063-26-000003.txt
ARNZEN APRIL S,EVP and Chief People Officer,2026-07-01,2026-07-06,1328,1087.21,1443814.88,D,S,94449,False,False,False,0001632063-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000163206326000003/0001632063-26-000003.txt
ARNZEN APRIL S,EVP and Chief People Officer,2026-07-01,2026-07-06,220,1088.12,239386.4,D,S,94229,False,False,False,0001632063-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000163206326000003/0001632063-26-000003.txt
ARNZEN APRIL S,EVP and Chief People Officer,2026-07-01,2026-07-06,267,1089.04,290773.68,D,S,93962,False,False,False,0001632063-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000163206326000003/0001632063-26-000003.txt
ARNZEN APRIL S,EVP and Chief People Officer,2026-07-01,2026-07-06,288,1090.6,314092.8,D,S,93674,False,False,False,0001632063-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000163206326000003/0001632063-26-000003.txt
ARNZEN APRIL S,EVP and Chief People Officer,2026-07-01,2026-07-06,2317,1091.71,2529492.07,D,S,91357,False,False,False,0001632063-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000163206326000003/0001632063-26-000003.txt
ARNZEN APRIL S,EVP and Chief People Officer,2026-07-01,2026-07-06,2510,1092.68,2742626.8,D,S,88847,False,False,False,0001632063-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000163206326000003/0001632063-26-000003.txt
ARNZEN APRIL S,EVP and Chief People Officer,2026-07-01,2026-07-06,705,1093.92,771213.6,D,S,88142,False,False,False,0001632063-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000163206326000003/0001632063-26-000003.txt
ARNZEN APRIL S,EVP and Chief People Officer,2026-07-01,2026-07-06,2125,1095.25,2327406.25,D,S,86017,False,False,False,0001632063-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000163206326000003/0001632063-26-000003.txt
ARNZEN APRIL S,EVP and Chief People Officer,2026-07-01,2026-07-06,280,1095.88,306846.4,D,S,85737,False,False,False,0001632063-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000163206326000003/0001632063-26-000003.txt
Liu Teyin M,,2026-06-30,2026-07-02,27,0.0,0.0,A,A,26034,False,False,False,0002058769-26-000004,https://www.sec.gov/Archives/edgar/data/723125/000205876926000004/0002058769-26-000004.txt
Dugle Lynn A,,2026-06-30,2026-07-02,1300,1150.43,1495559.0,D,S,17728,False,False,False,0001453368-26-000001,https://www.sec.gov/Archives/edgar/data/723125/000145336826000001/0001453368-26-000001.txt
Dugle Lynn A,,2026-06-30,2026-07-02,700,0.0,0.0,D,G,17028,False,False,False,0001453368-26-000001,https://www.sec.gov/Archives/edgar/data/723125/000145336826000001/0001453368-26-000001.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,496,1170.6,580617.6,D,S,355501,False,False,False,0001242654-26-000012,https://www.sec.gov/Archives/edgar/data/723125/000124265426000012/0001242654-26-000012.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,857,1172.57,1004892.49,D,S,354644,False,False,False,0001242654-26-000012,https://www.sec.gov/Archives/edgar/data/723125/000124265426000012/0001242654-26-000012.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,243,1173.83,285240.69,D,S,354401,False,False,False,0001242654-26-000012,https://www.sec.gov/Archives/edgar/data/723125/000124265426000012/0001242654-26-000012.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,489,1175.17,574658.13,D,S,353912,False,False,False,0001242654-26-000012,https://www.sec.gov/Archives/edgar/data/723125/000124265426000012/0001242654-26-000012.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,1327,1177.28,1562250.56,D,S,352585,False,False,False,0001242654-26-000012,https://www.sec.gov/Archives/edgar/data/723125/000124265426000012/0001242654-26-000012.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,1087,1178.06,1280551.22,D,S,351498,False,False,False,0001242654-26-000012,https://www.sec.gov/Archives/edgar/data/723125/000124265426000012/0001242654-26-000012.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,680,1179.51,802066.8,D,S,350818,False,False,False,0001242654-26-000012,https://www.sec.gov/Archives/edgar/data/723125/000124265426000012/0001242654-26-000012.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,1239,1180.17,1462230.63,D,S,349579,False,False,False,0001242654-26-000012,https://www.sec.gov/Archives/edgar/data/723125/000124265426000012/0001242654-26-000012.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,209,1181.2,246870.8,D,S,349370,False,False,False,0001242654-26-000012,https://www.sec.gov/Archives/edgar/data/723125/000124265426000012/0001242654-26-000012.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,1496,1182.29,1768705.84,D,S,347874,False,False,False,0001242654-26-000012,https://www.sec.gov/Archives/edgar/data/723125/000124265426000012/0001242654-26-000012.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,514,1183.74,608442.36,D,S,347360,False,False,False,0001242654-26-000012,https://www.sec.gov/Archives/edgar/data/723125/000124265426000012/0001242654-26-000012.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,251,1184.61,297337.11,D,S,347109,False,False,False,0001242654-26-000012,https://www.sec.gov/Archives/edgar/data/723125/000124265426000012/0001242654-26-000012.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,204,1185.35,241811.4,D,S,346905,False,False,False,0001242654-26-000012,https://www.sec.gov/Archives/edgar/data/723125/000124265426000012/0001242654-26-000012.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,678,1186.62,804528.36,D,S,346227,False,False,False,0001242654-26-000012,https://www.sec.gov/Archives/edgar/data/723125/000124265426000012/0001242654-26-000012.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,153,1187.92,181751.76,D,S,346074,False,False,False,0001242654-26-000012,https://www.sec.gov/Archives/edgar/data/723125/000124265426000012/0001242654-26-000012.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,264,1189.71,314083.44,D,S,345810,False,False,False,0001242654-26-000012,https://www.sec.gov/Archives/edgar/data/723125/000124265426000012/0001242654-26-000012.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,214,1190.59,254786.26,D,S,345596,False,False,False,0001242654-26-000012,https://www.sec.gov/Archives/edgar/data/723125/000124265426000012/0001242654-26-000012.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,282,1191.84,336098.88,D,S,345314,False,False,False,0001242654-26-000012,https://www.sec.gov/Archives/edgar/data/723125/000124265426000012/0001242654-26-000012.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,811,1192.42,967052.62,D,S,344503,False,False,False,0001242654-26-000012,https://www.sec.gov/Archives/edgar/data/723125/000124265426000012/0001242654-26-000012.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,243,1128.41,274203.63,D,S,384260,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,235,1131.38,265874.3,D,S,384025,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,5123,1132.37,5801131.51,D,S,378902,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,54,1133.38,61202.52,D,S,378848,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,254,1134.62,288193.48,D,S,378594,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,279,1136.3,317027.7,D,S,378315,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,126,1136.87,143245.62,D,S,378189,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,369,1139.33,420412.77,D,S,377820,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,465,1140.14,530165.1,D,S,377355,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,3645,1141.46,4160621.7,D,S,373710,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,499,1142.88,570297.12,D,S,373211,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,1689,1144.05,1932300.45,D,S,371522,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,487,1145.13,557678.31,D,S,371035,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,232,1146.05,265883.6,D,S,370803,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,1379,1147.81,1582829.99,D,S,369424,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,799,1149.38,918354.62,D,S,368625,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,480,1152.11,553012.8,D,S,368145,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,540,1152.64,622425.6,D,S,367605,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,727,1154.64,839423.28,D,S,366878,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,1446,1156.23,1671908.58,D,S,365432,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,413,1157.3,477964.9,D,S,365019,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,766,1159.43,888123.38,D,S,364253,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,505,1160.34,585971.7,D,S,363748,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,2789,1162.75,3242909.75,D,S,360959,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,106,1163.49,123329.94,D,S,360853,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,1374,1165.06,1600792.44,D,S,359479,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,772,1166.26,900352.72,D,S,358707,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,1745,1167.16,2036694.2,D,S,356962,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,14,1167.98,16351.72,D,S,356948,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
MEHROTRA SANJAY,President and CEO,2026-06-26,2026-06-30,951,1169.96,1112631.96,D,S,355997,False,False,False,0001242654-26-000011,https://www.sec.gov/Archives/edgar/data/723125/000124265426000011/0001242654-26-000011.txt
Bjorlin Alexis,,2026-06-09,2026-06-11,63,0.0,0.0,A,A,63,False,False,False,0001798757-26-000006,https://www.sec.gov/Archives/edgar/data/723125/000179875726000006/0001798757-26-000006.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,560,973.75,545300.0,D,S,386504,False,False,False,0001242654-26-000010,https://www.sec.gov/Archives/edgar/data/723125/000124265426000010/0001242654-26-000010.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,550,974.44,535942.0,D,S,385954,False,False,False,0001242654-26-000010,https://www.sec.gov/Archives/edgar/data/723125/000124265426000010/0001242654-26-000010.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,661,975.57,644851.77,D,S,385293,False,False,False,0001242654-26-000010,https://www.sec.gov/Archives/edgar/data/723125/000124265426000010/0001242654-26-000010.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,166,976.75,162140.5,D,S,385127,False,False,False,0001242654-26-000010,https://www.sec.gov/Archives/edgar/data/723125/000124265426000010/0001242654-26-000010.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,544,977.95,532004.8,D,S,384583,False,False,False,0001242654-26-000010,https://www.sec.gov/Archives/edgar/data/723125/000124265426000010/0001242654-26-000010.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,80,979.37,78349.6,D,S,384503,False,False,False,0001242654-26-000010,https://www.sec.gov/Archives/edgar/data/723125/000124265426000010/0001242654-26-000010.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,105,942.14,98924.7,D,S,424398,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,175,943.09,165040.75,D,S,424223,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,349,944.17,329515.33,D,S,423874,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,182,945.15,172017.3,D,S,423692,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,350,946.76,331366.0,D,S,423342,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,400,947.56,379024.0,D,S,422942,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,1026,948.53,973191.78,D,S,421916,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,679,949.78,644900.62,D,S,421237,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,789,951.2,750496.8,D,S,420448,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,887,952.16,844565.92,D,S,419561,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,2268,953.23,2161925.64,D,S,417293,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,1196,954.28,1141318.88,D,S,416097,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,2382,955.24,2275381.68,D,S,413715,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,2099,956.12,2006895.88,D,S,411616,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,1627,957.12,1557234.24,D,S,409989,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,1529,958.23,1465133.67,D,S,408460,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,1843,959.22,1767842.46,D,S,406617,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,686,960.55,658937.3,D,S,405931,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,1975,961.27,1898508.25,D,S,403956,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,3113,962.23,2995421.99,D,S,400843,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,319,963.1,307228.9,D,S,400524,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,884,964.74,852830.16,D,S,399640,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,2765,965.63,2669966.95,D,S,396875,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,2267,966.65,2191395.55,D,S,394608,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,2306,967.65,2231400.9,D,S,392302,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,800,968.88,775104.0,D,S,391502,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,626,969.78,607082.28,D,S,390876,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,1810,970.59,1756767.9,D,S,389066,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,1374,971.84,1335308.16,D,S,387692,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
MEHROTRA SANJAY,President and CEO,2026-05-29,2026-06-02,628,972.61,610799.08,D,S,387064,False,False,False,0001242654-26-000009,https://www.sec.gov/Archives/edgar/data/723125/000124265426000009/0001242654-26-000009.txt
GOMO STEVEN J,,2026-05-11,2026-05-13,1000,786.47,786470.0,D,S,18139,False,False,False,0001224095-26-000001,https://www.sec.gov/Archives/edgar/data/723125/000122409526000001/0001224095-26-000001.txt
GOMO STEVEN J,,2026-05-11,2026-05-13,1000,787.6,787600.0,D,S,17139,False,False,False,0001224095-26-000001,https://www.sec.gov/Archives/edgar/data/723125/000122409526000001/0001224095-26-000001.txt
RAY MICHAEL CHARLES,"SVP, Chief Legal Officer",2026-05-01,2026-05-05,120,511.64,61396.8,D,S,74708,False,False,False,0001593199-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000159319926000003/0001593199-26-000003.txt
RAY MICHAEL CHARLES,"SVP, Chief Legal Officer",2026-05-01,2026-05-05,80,514.32,41145.6,D,S,74628,False,False,False,0001593199-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000159319926000003/0001593199-26-000003.txt
RAY MICHAEL CHARLES,"SVP, Chief Legal Officer",2026-05-01,2026-05-05,80,516.17,41293.6,D,S,74548,False,False,False,0001593199-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000159319926000003/0001593199-26-000003.txt
RAY MICHAEL CHARLES,"SVP, Chief Legal Officer",2026-05-01,2026-05-05,120,517.31,62077.2,D,S,74428,False,False,False,0001593199-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000159319926000003/0001593199-26-000003.txt
RAY MICHAEL CHARLES,"SVP, Chief Legal Officer",2026-05-01,2026-05-05,40,518.82,20752.8,D,S,74388,False,False,False,0001593199-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000159319926000003/0001593199-26-000003.txt
RAY MICHAEL CHARLES,"SVP, Chief Legal Officer",2026-05-01,2026-05-05,80,521.64,41731.2,D,S,74308,False,False,False,0001593199-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000159319926000003/0001593199-26-000003.txt
RAY MICHAEL CHARLES,"SVP, Chief Legal Officer",2026-05-01,2026-05-05,120,524.96,62995.2,D,S,74188,False,False,False,0001593199-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000159319926000003/0001593199-26-000003.txt
RAY MICHAEL CHARLES,"SVP, Chief Legal Officer",2026-05-01,2026-05-05,120,526.13,63135.6,D,S,74068,False,False,False,0001593199-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000159319926000003/0001593199-26-000003.txt
RAY MICHAEL CHARLES,"SVP, Chief Legal Officer",2026-05-01,2026-05-05,160,527.51,84401.6,D,S,73908,False,False,False,0001593199-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000159319926000003/0001593199-26-000003.txt
RAY MICHAEL CHARLES,"SVP, Chief Legal Officer",2026-05-01,2026-05-05,200,528.42,105684.0,D,S,73708,False,False,False,0001593199-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000159319926000003/0001593199-26-000003.txt
RAY MICHAEL CHARLES,"SVP, Chief Legal Officer",2026-05-01,2026-05-05,581,529.54,307662.74,D,S,73127,False,False,False,0001593199-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000159319926000003/0001593199-26-000003.txt
RAY MICHAEL CHARLES,"SVP, Chief Legal Officer",2026-05-01,2026-05-05,560,530.65,297164.0,D,S,72567,False,False,False,0001593199-26-000003,https://www.sec.gov/Archives/edgar/data/723125/000159319926000003/0001593199-26-000003.txt
